mode_number,singular_value,energy_fraction,cumulative_energy
170,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
171,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
172,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
173,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
174,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
175,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
176,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
177,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
178,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
179,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
180,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
181,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
182,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
183,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
184,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
185,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
186,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
187,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
188,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
189,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
190,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
191,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
192,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
193,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
194,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
195,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
196,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
197,8.493763842572798e-15,3.998502645544954e-33,1.0000000000000002
198,5.996781104687302e-15,1.9931198612769845e-33,1.0000000000000002
199,2.0365558226443936e-15,2.298738986206262e-34,1.0000000000000002
